"x","y","z"
-110.999998878337,34.958334205,1701.0888
-110.958332208337,34.958334205,1655.9784
-110.916665538337,34.958334205,1623.9744
-110.874998868337,34.958334205,1595.9328
-110.833332198337,34.958334205,1588.008
-110.791665528337,34.958334205,1582.2168
-110.749998858337,34.958334205,1559.052
-110.708332188337,34.958334205,1547.1648
-110.666665518337,34.958334205,1531.9248
-110.624998848337,34.958334205,1513.9416
-110.583332178337,34.958334205,1516.9896
-110.541665508337,34.958334205,1497.1776
-110.499998838337,34.958334205,1505.1024
-110.458332168337,34.958334205,1520.952
-110.416665498337,34.958334205,1518.2088
-110.374998828337,34.958334205,1524
-110.333332158337,34.958334205,1536.192
-110.291665488337,34.958334205,1566.0624
-110.249998818337,34.958334205,1568.196
-110.208332148337,34.958334205,1575.2064
-110.166665478337,34.958334205,1570.0248
-110.124998808337,34.958334205,1608.1248
-110.083332138337,34.958334205,1588.008
-110.041665468337,34.958334205,1586.1792
-109.999998798337,34.958334205,1588.008
-109.958332128337,34.958334205,1626.108
-109.916665458337,34.958334205,1632.204
-109.874998788337,34.958334205,1637.0808
-109.833332118337,34.958334205,1644.0912
-109.791665448337,34.958334205,1645.0056
-109.749998778337,34.958334205,1647.1392
-109.708332108337,34.958334205,1645.0056
-109.666665438337,34.958334205,1677.0096
-109.624998768337,34.958334205,1702.0032
-109.583332098337,34.958334205,1716.024
-109.541665428337,34.958334205,1826.0568
-109.499998758337,34.958334205,1876.9584
-109.458332088337,34.958334205,1972.9704
-109.416665418337,34.958334205,1988.2104
-109.374998748337,34.958334205,1988.2104
-109.333332078337,34.958334205,1988.2104
-109.291665408337,34.958334205,1997.0496
-109.249998738337,34.958334205,1953.1584
-109.208332068337,34.958334205,1951.0248
-109.166665398337,34.958334205,2009.2416
-109.124998728337,34.958334205,2011.0704
-109.083332058337,34.958334205,1972.056
-109.041665388337,34.958334205,1937.004
-108.999998718337,34.958334205,1896.1608
-108.958332048337,34.958334205,1960.1688
-108.916665378337,34.958334205,2014.1184
-108.874998708337,34.958334205,2067.1536
-108.833332038337,34.958334205,2139.0864
-108.791665368337,34.958334205,2202.18
-108.749998698337,34.958334205,2191.2072
-108.708332028337,34.958334205,2150.0592
-108.666665358337,34.958334205,2195.1696
-108.624998688337,34.958334205,2246.9856
-108.583332018337,34.958334205,2298.192
-108.541665348337,34.958334205,2248.2048
-108.499998678337,34.958334205,2200.0464
-108.458332008337,34.958334205,2207.9712
-108.416665338337,34.958334205,2239.9752
-108.374998668337,34.958334205,2225.04
-108.333331998337,34.958334205,2239.9752
-108.291665328337,34.958334205,2277.1608
-108.249998658337,34.958334205,2289.048
-108.208331988337,34.958334205,2307.0312
-108.166665318337,34.958334205,2353.056
-108.124998648337,34.958334205,2385.06
-108.083331978337,34.958334205,2358.2376
-108.041665308337,34.958334205,2310.9936
-107.999998638337,34.958334205,2202.18
-107.958331968337,34.958334205,2150.9736
-107.916665298337,34.958334205,2097.024
