time (h)	precip (mm/s)	ET (mm/s)
1	0.000E+00	8.816E-07
2	0.000E+00	4.401E-07
3	0.000E+00	0.000E+00
4	9.600E-07	0.000E+00
5	2.000E-06	0.000E+00
6	2.960E-06	0.000E+00
7	3.440E-06	0.000E+00
8	3.920E-06	0.000E+00
9	4.400E-06	0.000E+00
10	3.440E-06	0.000E+00
11	2.480E-06	0.000E+00
12	1.520E-06	0.000E+00
13	1.040E-06	1.469E-07
14	4.800E-07	9.177E-08
15	0.000E+00	1.711E-07
16	0.000E+00	6.177E-07
17	0.000E+00	1.684E-06
18	0.000E+00	3.032E-06
19	2.080E-06	3.472E-06
20	4.160E-06	3.827E-06
21	6.240E-06	4.096E-06
22	4.400E-06	2.759E-06
23	2.640E-06	1.576E-06
24	8.800E-07	5.445E-07
25	1.040E-06	3.821E-07
26	1.120E-06	2.005E-07
27	1.280E-06	0.000E+00
28	8.800E-07	0.000E+00
29	4.000E-07	0.000E+00
30	0.000E+00	0.000E+00
31	0.000E+00	0.000E+00
32	0.000E+00	0.000E+00
33	0.000E+00	0.000E+00
34	0.000E+00	0.000E+00
35	0.000E+00	0.000E+00
36	0.000E+00	0.000E+00
37	0.000E+00	1.576E-07
38	0.000E+00	3.026E-07
39	0.000E+00	4.346E-07
40	0.000E+00	2.186E-08
41	0.000E+00	6.574E-07
42	0.000E+00	1.475E-06
43	0.000E+00	4.107E-07
44	0.000E+00	4.991E-07
45	0.000E+00	1.253E-06
46	5.600E-07	1.219E-06
47	1.120E-06	9.454E-07
48	1.680E-06	4.335E-07
49	1.120E-06	1.678E-07
50	5.600E-07	2.390E-08
51	0.000E+00	0.000E+00
52	1.920E-06	0.000E+00
53	3.840E-06	0.000E+00
54	5.760E-06	0.000E+00
55	3.840E-06	0.000E+00
56	1.920E-06	0.000E+00
57	0.000E+00	0.000E+00
58	0.000E+00	0.000E+00
59	0.000E+00	0.000E+00
60	0.000E+00	0.000E+00

